experiment,sample,species,replicate,test,step_init,step_end,step_init_abs,step_end_abs,step_type
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test0_0_from0,AstChy1,1,0,0,0,95,95,adaptation
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test10_0_from3,AstChy1,1,10,3,0,78,95,step_up
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test11_3_from0,AstChy1,1,11,0,3,95,78,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test12_0_from0,AstChy1,1,12,0,0,95,95,adaptation
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test13_4_from0,AstChy1,1,13,0,4,95,64,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test14_0_from4,AstChy1,1,14,4,0,64,95,step_up
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test15_4_from0,AstChy1,1,15,0,4,95,64,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test16_0_from0,AstChy1,1,16,0,0,95,95,adaptation
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test17_5_from0,AstChy1,1,17,0,5,95,4,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test18_0_from5,AstChy1,1,18,5,0,4,95,step_up
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test19_5_from0,AstChy1,1,19,0,5,95,4,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test1_1_from0,AstChy1,1,1,0,1,95,90,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test20_1_from1,AstChy1,1,20,1,1,90,90,adaptation
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test21_2_from1,AstChy1,1,21,1,2,90,85,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test22_1_from2,AstChy1,1,22,2,1,85,90,step_up
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test23_2_from1,AstChy1,1,23,1,2,90,85,step_down
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test24_1_from1,AstChy1,1,24,1,1,90,90,adaptation
FastTimeLaps_exp_02_AstChy1_110120_rep1,FastTimeLaps_exp_test25_3_from1,AstChy1,1,25,1,3,90,78,step_down
